mortality,sample_number,year,month,date,stage,state,latitude,longitude,crop,beekeeper,group,population,sample_ID,Group-Population ID,Acibenzolar-S-Methyl,Azoxystrobin,Benzovindiflupyr,Boscalid,Carbendazim,Cyflufenamid,Cyprodinil,Difenoconazole,Diphenylamine,Fenbuconazole,Fludioxonil,Fluopyram,Flutriafol,Fluxapyroxad,Myclobutanil,Penthiopyrad,Propiconazole,Pyraclostrobin,Pyrimethanil,Tebuconazole,Thiophanate methyl,Trifloxystrobin,Triflumizole,Atrazine,Diuron,Norflurazon,Pendimethalin,S-Metolachlor,Trifluralin,Acetamiprid,Bifenthrin,Buprofezin,Carbaryl,Chlorantraniliprole,Chlorpyrifos,Coumaphos,Diazinon,Diflubenzuron,Dimethoate,Flonicamid,Hexythiazox,Methoxyfenozide,Imidacloprid,Propargite,Pyriproxyfen,Spinetoram A,Spiromesifen,Sulfoxaflor,tau Fluvalinate
Alive,76,2023,5,20230512,2,WA,46.591629,-120.382852,apple,B1,N,L,114,N-L,,,,,,,,,,,,0.098,0.033,,,,,,,,,0.072,,,,,0.029,,,,,0.187,0.137,,,,0.045,,,,,,,,,0.18,,,
Alive,77,2023,5,20230516,2,WA,46.96304,-119.557664,apple-cherry,B4,P,S,120,P-S,0.048,,,,,0.054,,,,,,0.109,0.031,,0.198,,,,,,,0.085,,,,,0.038,,,,,0.53,0.169,,,,0.039,,,,,,,,,,,,
Alive,78,2023,5,20230516,2,WA,46.96304,-119.557664,apple-cherry,B4,P,L,121,P-L,,,,0.032,,0.055,,,,,,0.086,0.049,,0.159,,,0.038,,,,0.057,,,,,0.045,,,,,1.66,0.059,,,,0.035,,,,,,,,,0.39,,,
Alive,79,2023,6,20230614,3,WA,47.028631,-119.237155,canola,B3,H,S,132,H-S,,0.018,,,,,,,,,,0.062,0.025,,0.026,,,,,,,0.051,,,,,0.026,,,,,0.018,0.02,,,,0.04,,,,,,,,,,,,
Alive,80,2023,6,20230614,3,WA,47.028631,-119.237155,canola,B3,H,L,133,H-L,,,,,,,,,,,,0.062,0.017,,,,,,,,,0.049,,,,,,,,,,0.155,,,,,,,,,,,,,,,,,
Alive,81,2023,6,20230623,3,WA,47.233702,-119.254483,canola,B1,K,S,126,K-S,,,,,,,,,,,,0.047,0.019,,,,,,,,,0.032,,,,0.13,0.093,,,,,0.079,0.091,0.136,,,,,,,,0.016,,,,,,,
Alive,82,2023,6,20230623,3,WA,47.233702,-119.254483,canola,B1,K,L,127,K-L,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,0.254,,,,,0.022,0.033,,,,,,,,,,,,,,,,
Alive,83,2023,7,20230705,3,WA,48.004035,-117.523442,honey,B4,M,S,128,M-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
Alive,84,2023,7,20230705,3,WA,48.004035,-117.523442,honey,B4,M,L,129,M-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,85,2023,6,20230627,3,WA,47.161309,-119.789985,onion,B1,N,S,124,N-S,,0.777,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.664,,,,,,,,,,,,,,,
Alive,86,2023,6,20230627,3,WA,47.161309,-119.789985,onion,B1,N,L,125,N-L,,0.729,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,,,,,,,,,,,,,,,
Alive,87,2023,7,20230712,3,WA,48.006911,-117.349705,honey,B4,P,S,130,P-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,
